time [s],ECG lead I (mV),ECG lead II (mV),ECG lead V (mV),ART (mmHg),PAP (mmHg),CVP (mmHg),Resp. Imp. (mV),CO2 (mV)
0.075,-1.509854327335047,-1.093543046357616,-0.7413024085637824,67.99336650082918,147.7799227799228,-26.444223107569723,-0.072,0.748
0.07777777777777778,-1.509854327335047,-1.093543046357616,-0.7404103479036575,67.99336650082918,147.7799227799228,-26.444223107569723,-0.072,0.748
0.08055555555555556,-1.5107112253641817,-1.093543046357616,-0.7413024085637824,67.99336650082918,147.7799227799228,-26.444223107569723,-0.072,0.748
0.08333333333333333,-1.5115681233933163,-1.0943708609271523,-0.7421944692239072,67.82752902155887,147.7799227799228,-26.444223107569723,-0.073,0.747
0.08611111111111111,-1.5132819194515852,-1.096026490066225,-0.7430865298840321,67.74461028192371,147.7799227799228,-26.444223107569723,-0.074,0.746
0.08888888888888889,-1.5132819194515852,-1.096026490066225,-0.743978590544157,67.82752902155887,147.7799227799228,-26.444223107569723,-0.073,0.745
0.09166666666666666,-1.5124250214224508,-1.0943708609271523,-0.7421944692239072,67.91044776119402,147.7799227799228,-26.444223107569723,-0.071,0.744
0.09444444444444444,-1.5107112253641817,-1.0927152317880795,-0.7404103479036575,67.99336650082918,147.7799227799228,-26.444223107569723,-0.071,0.742
0.09722222222222222,-1.5107112253641817,-1.093543046357616,-0.7413024085637824,67.91044776119402,147.7799227799228,-26.444223107569723,-0.071,0.741
0.1,-1.5124250214224508,-1.0951986754966887,-0.7421944692239072,67.91044776119402,147.7799227799228,-26.444223107569723,-0.072,0.739
0.10277777777777777,-1.5124250214224508,-1.0951986754966887,-0.7430865298840321,67.91044776119402,147.7799227799228,-26.444223107569723,-0.072,0.738
0.10555555555555556,-1.5124250214224508,-1.0951986754966887,-0.7430865298840321,67.82752902155887,147.7799227799228,-26.444223107569723,-0.073,0.736
0.10833333333333334,-1.5115681233933163,-1.0951986754966887,-0.7421944692239072,67.82752902155887,147.7799227799228,-26.444223107569723,-0.073,0.736
0.1111111111111111,-1.5115681233933163,-1.0943708609271523,-0.7413024085637824,67.91044776119402,147.7799227799228,-26.444223107569723,-0.072,0.736
0.11388888888888889,-1.5107112253641817,-1.093543046357616,-0.7413024085637824,67.99336650082918,147.7799227799228,-26.444223107569723,-0.071,0.735
0.11666666666666667,-1.5107112253641817,-1.093543046357616,-0.7421944692239072,67.91044776119402,147.7799227799228,-26.444223107569723,-0.071,0.736
